fpr,tpr
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.001,0.002
0.002,0.003
0.002,0.003
0.002,0.003
0.002,0.003
0.002,0.003
0.002,0.003
0.002,0.004
0.002,0.004
0.002,0.004
0.002,0.004
0.002,0.004
0.002,0.004
0.003,0.004
0.003,0.004
0.003,0.004
0.003,0.004
0.003,0.004
0.003,0.005
0.004,0.005
0.004,0.005
0.004,0.005
0.004,0.005
0.004,0.005
0.004,0.006
0.005,0.006
0.005,0.006
0.005,0.006
0.005,0.006
0.005,0.006
0.005,0.006
0.005,0.006
0.005,0.006
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.006,0.007
0.007,0.007
0.007,0.007
0.007,0.008
0.007,0.008
0.007,0.008
0.007,0.008
0.007,0.008
0.007,0.009
0.007,0.009
0.007,0.009
0.007,0.009
0.007,0.009
0.008,0.009
0.008,0.01
0.009,0.01
0.009,0.011
0.009,0.011
0.009,0.011
0.009,0.012
0.01,0.012
0.011,0.012
0.011,0.012
0.011,0.013
0.012,0.013
0.012,0.013
0.013,0.014
0.013,0.014
0.013,0.014
0.013,0.015
0.013,0.016
0.013,0.016
0.014,0.016
0.014,0.017
0.014,0.019
0.014,0.019
0.014,0.019
0.015,0.02
0.015,0.02
0.017,0.021
0.017,0.021
0.018,0.021
0.018,0.021
0.018,0.021
0.018,0.021
0.02,0.023
0.022,0.023
0.022,0.023
0.024,0.024
0.025,0.027
0.026,0.027
0.027,0.027
0.028,0.027
0.028,0.027
0.029,0.03
0.029,0.032
0.029,0.035
0.029,0.036
0.03,0.036
0.03,0.037
0.03,0.037
0.03,0.041
0.032,0.043
0.033,0.044
0.033,0.046
0.037,0.046
0.04,0.046
0.04,0.049
0.043,0.05
0.044,0.051
0.044,0.051
0.044,0.052
0.045,0.053
0.046,0.054
0.046,0.054
0.046,0.055
0.047,0.055
0.051,0.055
0.051,0.055
0.052,0.055
0.054,0.057
0.054,0.058
0.054,0.06
0.055,0.06
0.056,0.061
0.058,0.062
0.059,0.062
0.063,0.063
0.065,0.068
0.066,0.069
0.067,0.07
0.067,0.071
0.067,0.074
0.069,0.076
0.069,0.078
0.07,0.079
0.071,0.082
0.071,0.083
0.071,0.086
0.074,0.087
0.077,0.09
0.078,0.092
0.078,0.093
0.079,0.094
0.082,0.095
0.085,0.099
0.089,0.102
0.089,0.103
0.089,0.105
0.095,0.108
0.096,0.109
0.097,0.113
0.1,0.114
0.102,0.114
0.103,0.119
0.103,0.12
0.104,0.123
0.105,0.127
0.107,0.129
0.109,0.13
0.113,0.132
0.114,0.135
0.115,0.138
0.117,0.139
0.118,0.144
0.119,0.145
0.123,0.146
0.129,0.148
0.129,0.151
0.13,0.152
0.133,0.157
0.133,0.16
0.136,0.164
0.138,0.165
0.141,0.165
0.143,0.169
0.144,0.173
0.145,0.175
0.148,0.178
0.151,0.179
0.153,0.183
0.156,0.187
0.161,0.19
0.166,0.192
0.168,0.196
0.171,0.198
0.175,0.202
0.179,0.203
0.182,0.207
0.182,0.209
0.185,0.21
0.187,0.213
0.189,0.216
0.194,0.216
0.198,0.218
0.2,0.219
0.203,0.221
0.204,0.227
0.206,0.228
0.212,0.23
0.215,0.233
0.218,0.234
0.221,0.238
0.223,0.244
0.223,0.246
0.227,0.247
0.23,0.251
0.231,0.252
0.234,0.254
0.235,0.256
0.235,0.259
0.236,0.261
0.239,0.263
0.241,0.263
0.242,0.264
0.245,0.268
0.248,0.269
0.251,0.27
0.256,0.273
0.262,0.275
0.263,0.281
0.266,0.287
0.27,0.29
0.272,0.292
0.276,0.294
0.278,0.294
0.28,0.297
0.285,0.302
0.289,0.303
0.294,0.304
0.298,0.307
0.301,0.312
0.304,0.313
0.31,0.315
0.313,0.318
0.315,0.322
0.317,0.324
0.321,0.329
0.323,0.333
0.328,0.339
0.336,0.347
0.339,0.35
0.341,0.352
0.344,0.353
0.35,0.354
0.353,0.359
0.356,0.361
0.356,0.364
0.358,0.367
0.364,0.371
0.367,0.373
0.369,0.381
0.373,0.382
0.377,0.39
0.379,0.392
0.382,0.395
0.382,0.399
0.386,0.402
0.39,0.406
0.39,0.407
0.394,0.409
0.397,0.413
0.4,0.418
0.405,0.421
0.41,0.424
0.415,0.425
0.418,0.428
0.422,0.433
0.422,0.436
0.424,0.441
0.427,0.445
0.429,0.45
0.432,0.454
0.436,0.459
0.44,0.46
0.441,0.462
0.443,0.466
0.444,0.472
0.448,0.476
0.45,0.479
0.453,0.481
0.456,0.483
0.458,0.486
0.458,0.486
0.458,0.487
0.46,0.493
0.465,0.498
0.468,0.5
0.469,0.503
0.47,0.504
0.473,0.506
0.478,0.507
0.482,0.512
0.486,0.519
0.487,0.525
0.489,0.526
0.49,0.527
0.493,0.527
0.496,0.529
0.499,0.532
0.504,0.534
0.506,0.535
0.509,0.538
0.514,0.54
0.514,0.543
0.515,0.545
0.517,0.545
0.523,0.545
0.523,0.546
0.526,0.55
0.529,0.555
0.532,0.557
0.536,0.557
0.539,0.56
0.542,0.564
0.544,0.565
0.547,0.568
0.549,0.569
0.549,0.573
0.553,0.576
0.555,0.581
0.56,0.584
0.56,0.586
0.563,0.586
0.564,0.589
0.566,0.59
0.569,0.593
0.571,0.595
0.572,0.6
0.573,0.601
0.573,0.604
0.575,0.607
0.581,0.608
0.582,0.609
0.583,0.611
0.584,0.612
0.585,0.615
0.588,0.616
0.589,0.621
0.589,0.621
0.591,0.622
0.591,0.622
0.592,0.625
0.599,0.629
0.602,0.63
0.606,0.633
0.606,0.636
0.609,0.637
0.611,0.64
0.613,0.644
0.616,0.645
0.617,0.646
0.618,0.647
0.618,0.65
0.621,0.653
0.624,0.654
0.628,0.656
0.631,0.659
0.634,0.661
0.638,0.661
0.64,0.663
0.64,0.664
0.646,0.665
0.649,0.666
0.65,0.667
0.652,0.669
0.652,0.669
0.655,0.672
0.655,0.675
0.656,0.676
0.658,0.677
0.661,0.677
0.664,0.681
0.666,0.681
0.668,0.683
0.671,0.684
0.671,0.685
0.671,0.687
0.674,0.689
0.678,0.69
0.686,0.693
0.688,0.695
0.69,0.696
0.692,0.698
0.695,0.699
0.698,0.7
0.702,0.701
0.702,0.702
0.704,0.704
0.708,0.705
0.711,0.706
